,Time,Source,Text,Compound,Positive,Neutral,Negative,Tweets Ago
52,2018-09-30 03:28:47+00:00,BBCNews,"Brexit plan critics are playing politics, says Theresa May https://t.co/1R65QSRyNn",-0.1027,0.15,0.667,0.183,-52
53,2018-09-30 00:16:10+00:00,BBCNews,Brett Kavanaugh: FBI contacts second woman https://t.co/8R4i739adF,0.0,0.0,1.0,0.0,-53
54,2018-09-29 23:53:46+00:00,BBCNews,Three in five British adults say miracles are possible https://t.co/8IfJoEpTF0,0.0,0.0,1.0,0.0,-54
55,2018-09-29 23:39:33+00:00,BBCNews,"North Korea 'won't disarm if sanctions continue', minister says https://t.co/y6n9bwaZAA",0.0,0.0,1.0,0.0,-55
56,2018-09-29 23:36:00+00:00,BBCNews,Desert Island Discs: Tom Daley felt 'inferior' over sexuality https://t.co/I6duW1AdEf,0.0,0.0,1.0,0.0,-56
57,2018-09-29 23:21:58+00:00,BBCNews,Ty Hafan: Dad's group tackling tragedy and mountains together https://t.co/8snzNTWtg8,-0.4215,0.173,0.533,0.293,-57
58,2018-09-29 22:47:36+00:00,BBCNews,Newspaper headlines: 'Boris vs May' and 'disgraceful' data breach https://t.co/7o80XPtNBU,0.0,0.0,1.0,0.0,-58
59,2018-09-29 22:35:42+00:00,BBCNews,Russian spy poisoning: Woman 'identifies' suspect as Anatoliy Chepiga https://t.co/3cW1bYm1O4,-0.7184,0.0,0.571,0.429,-59
60,2018-09-29 22:08:59+00:00,BBCNews,Elon Musk reaches deal over tweets about taking Tesla private https://t.co/rYTM37xKwV,0.0516,0.107,0.893,0.0,-60
61,2018-09-29 22:00:58+00:00,BBCNews,Ryder Cup 2018: Where will the winning points come from? - singles draw &amp; form https://t.co/yrqcTfW1pJ,0.5267,0.195,0.805,0.0,-61
62,2018-09-29 21:07:58+00:00,BBCNews,Lewis Hamilton team orders? All you need to know about Russia https://t.co/AHe92D7JrM,0.0,0.0,1.0,0.0,-62
63,2018-09-29 19:32:47+00:00,BBCNews,Hattie the Fatty half the size and hungry for a home https://t.co/fbFAZPqSlT,0.0,0.0,1.0,0.0,-63
64,2018-09-29 19:01:49+00:00,BBCNews,Danish police free manhunt suspects in death threat case https://t.co/PGCF8fAMv4,-0.7506,0.174,0.316,0.511,-64
65,2018-09-29 18:23:23+00:00,BBCNews,Man Utd: Decision to be made after West Ham defeat - Rio Ferdinand https://t.co/vQGEbFHhuS,-0.4588,0.0,0.8,0.2,-65
66,2018-09-29 17:23:20+00:00,BBCNews,Lindsay Lohan under fire for 'bizarre' Instagram video https://t.co/gM0YwedtyS,-0.34,0.0,0.769,0.231,-66
67,2018-09-29 16:57:30+00:00,BBCNews,Madeleine McCann's father describes the 'terror' of her disappearance https://t.co/xZEYP6xYKq,0.0,0.0,1.0,0.0,-67
68,2018-09-29 16:57:02+00:00,BBCNews,RT @bbcweather: A quick look at tonight &amp; tomorrow in 60 seconds. For the longer version and more detail for where you live click here http…,0.0,0.0,1.0,0.0,-68
69,2018-09-29 16:56:38+00:00,BBCNews,"RT @BBCSport: ""There will be conversations.""

There are ""big decisions"" to make at Man Utd.

More: https://t.co/YBopdiBnTV https://t.co/uo5…",0.0,0.0,1.0,0.0,-69
70,2018-09-29 16:51:07+00:00,BBCNews,Hearts 2-1 St Johnstone: Unbeaten leaders remain five points clear https://t.co/0ojvh8Y9k4,0.3818,0.206,0.794,0.0,-70
71,2018-09-29 16:43:56+00:00,BBCNews,Huddersfield Town 0-2 Tottenham Hotspur: Harry Kane double downs winless Terriers https://t.co/0hl3HMoUcF,0.0,0.0,1.0,0.0,-71
72,2018-09-29 16:14:52+00:00,BBCNews,Manchester City 2-0 Brighton: City beat visitors to go top of table https://t.co/GMsCebNpYn,0.2023,0.13,0.87,0.0,-72
73,2018-09-29 16:02:23+00:00,BBCNews,Indonesia tsunami: Aftershocks rock Palu day after disaster https://t.co/dbH2Q07FMl,-0.6249,0.0,0.661,0.339,-73
74,2018-09-29 15:52:49+00:00,BBCNews,"RT @ChrisMasonBBC: Here comes the apology: a Conservative Party spokesman said: ""The technical issue has been resolved and the app is now f…",0.5574,0.228,0.772,0.0,-74
75,2018-09-29 15:23:38+00:00,BBCNews,Ryder Cup: Europe extend lead over US to 8-4 after Saturday fourballs in France https://t.co/7uOOO9rSsW,0.1779,0.108,0.892,0.0,-75
76,2018-09-29 15:15:35+00:00,BBCNews,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say… https://t.co/w73IGTRxOC",-0.6486,0.0,0.798,0.202,-76
77,2018-09-29 15:11:59+00:00,BBCNews,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",0.5499,0.129,0.871,0.0,-77
78,2018-09-29 15:11:01+00:00,BBCNews,RT @ChrisMasonBBC: The Information Commissioner’s Office reacts to the Conservative Conference app data breach #cpc18 https://t.co/i8YTapYp…,0.0,0.0,1.0,0.0,-78
79,2018-09-29 14:58:42+00:00,BBCNews,"RT @BBCNewsbeat: ""I don't think he'll ever forget it""
Fair play, @everton for surprising this fan with with Down's syndrome 🙌 https://t.co/…",0.7597,0.345,0.586,0.07,-79
80,2018-09-29 14:48:42+00:00,BBCNews,Brexit: UK 'would forever regret' losing carmakers - minister https://t.co/8ZDq4Uw2Zc,-0.6597,0.0,0.565,0.435,-80
81,2018-09-29 14:22:23+00:00,BBCNews,Conservative Party conference app reveals MP's numbers https://t.co/nNKW5MduUP,0.4019,0.278,0.722,0.0,-81
82,2018-09-29 13:34:41+00:00,BBCNews,Thames whale: 'Watch Benny from shore' fans urged https://t.co/VhEXLoHxmG,0.0,0.0,1.0,0.0,-82
83,2018-09-29 13:18:56+00:00,BBCNews,Double murder probe after two women die in Hadlow https://t.co/M202mdiaAH,-0.8625,0.0,0.482,0.518,-83
84,2018-09-29 12:34:29+00:00,BBCNews,"RT @bbcouch: This is 19-year-old rapper Kitch. He has a stutter when he talks, but it normally disappears when he's performing. Watch what…",-0.5574,0.0,0.813,0.187,-84
85,2018-09-29 12:34:02+00:00,BBCNews,Police Scotland anti-independence tweet deleted https://t.co/GEygIkRmmd,0.0,0.0,1.0,0.0,-85
86,2018-09-29 12:26:29+00:00,BBCNews,Deptford road crash: Cyclist dies https://t.co/cmREnR737i,-0.4019,0.0,0.649,0.351,-86
87,2018-09-29 12:25:19+00:00,BBCNews,"RT @BBCScotlandNews: Police tweet declaring ""I am tired of the SNP still going on about"" a second independence referendum is posted and has…",-0.4404,0.0,0.879,0.121,-87
88,2018-09-29 12:19:43+00:00,BBCNews,PC and two men attacked by dogs in Leeds garden https://t.co/brbfv4QW55,-0.4588,0.0,0.769,0.231,-88
89,2018-09-29 11:47:02+00:00,BBCNews,"🚀🌚 ""I'd be a terrible astronaut"" - It's safe to say @RyanGosling will stick to acting after his latest film with di… https://t.co/CNPzSFg5KU",-0.0516,0.116,0.76,0.124,-89
90,2018-09-29 11:20:42+00:00,BBCNews,"Chicken-lover? This could be an eye-opener... 🐔🍗🍴

Watch in full: https://t.co/rKcR2d2LuR https://t.co/5BvlS19JOy",0.0,0.0,1.0,0.0,-90
91,2018-09-29 10:12:07+00:00,BBCNews,Actress Claire Foy reveals struggles with anxiety https://t.co/TQkkmnQpfc,-0.4939,0.0,0.588,0.412,-91
92,2018-09-29 10:04:09+00:00,BBCNews,In pictures: Tsunami devastation in Sulawesi https://t.co/qn8Qt7Mgfo,-0.4215,0.0,0.682,0.318,-92
93,2018-09-29 09:35:38+00:00,BBCNews,RT @BBCWorld: In pictures: Tsunami devastation in Sulawesi https://t.co/Kqe9Z3uJ72,-0.4215,0.0,0.741,0.259,-93
94,2018-09-29 09:18:48+00:00,BBCNews,RT @BBCFergusWalsh: EpiPen users told they can use some devices past normal expiry date https://t.co/2m9bROen3o,0.0,0.0,1.0,0.0,-94
95,2018-09-29 09:15:53+00:00,BBCNews,"RT @BBCWorld: The woman who challenged US senator Flake in a lift: ""He had to confront the pain and rage that women feel""
(Tap to expand)
h…",-0.8402,0.0,0.688,0.312,-95
96,2018-09-29 09:14:35+00:00,BBCNews,Brexit: Tory MP Heidi Allen would back another referendum https://t.co/JucYqbNcms,0.0,0.0,1.0,0.0,-96
